,i,train_count,epochs,x_wins,o_wins,draws
0,0,100,10,523,440,37
1,1,100,10,538,432,30
2,2,100,10,493,463,44
3,3,100,10,511,446,43
4,4,100,10,549,413,38
5,5,100,10,550,407,43
6,6,100,10,527,443,30
7,7,100,10,537,429,34
8,8,100,10,507,462,31
9,9,100,10,548,417,35
10,0,200,10,518,438,44
11,1,200,10,521,436,43
12,2,200,10,526,437,37
13,3,200,10,517,438,45
14,4,200,10,501,461,38
15,5,200,10,498,434,68
16,6,200,10,508,452,40
17,7,200,10,545,420,35
18,8,200,10,546,418,36
19,9,200,10,529,435,36
20,0,500,10,513,442,45
21,1,500,10,526,445,29
22,2,500,10,509,457,34
23,3,500,10,524,437,39
24,4,500,10,525,443,32
25,5,500,10,541,416,43
26,6,500,10,514,452,34
27,7,500,10,509,460,31
28,8,500,10,524,446,30
29,9,500,10,519,440,41
30,0,1000,10,500,455,45
31,1,1000,10,539,423,38
32,2,1000,10,511,450,39
33,3,1000,10,521,445,34
34,4,1000,10,506,464,30
35,5,1000,10,505,459,36
36,6,1000,10,535,420,45
37,7,1000,10,524,432,44
38,8,1000,10,534,432,34
39,9,1000,10,517,439,44
40,0,2000,10,540,421,39
41,1,2000,10,551,419,30
42,2,2000,10,502,461,37
43,3,2000,10,542,417,41
44,4,2000,10,535,432,33
45,5,2000,10,515,444,41
46,6,2000,10,494,468,38
47,7,2000,10,526,439,35
48,8,2000,10,548,417,35
49,9,2000,10,523,443,34
50,0,3000,10,536,428,36
51,1,3000,10,537,429,34
52,2,3000,10,513,444,43
53,3,3000,10,509,450,41
54,4,3000,10,517,439,44
55,5,3000,10,521,430,49
56,6,3000,10,529,435,36
57,7,3000,10,539,424,37
58,8,3000,10,524,432,44
59,9,3000,10,518,444,38
60,0,5000,10,518,435,47
61,1,5000,10,511,457,32
62,2,5000,10,517,447,36
63,3,5000,10,543,427,30
64,4,5000,10,523,440,37
65,5,5000,10,530,439,31
66,6,5000,10,521,435,44
67,7,5000,10,487,465,48
68,8,5000,10,503,457,40
69,9,5000,10,517,444,39
70,0,7500,10,543,417,40
71,1,7500,10,546,418,36
72,2,7500,10,552,413,35
73,3,7500,10,513,454,33
74,4,7500,10,498,463,39
75,5,7500,10,524,440,36
76,6,7500,10,518,440,42
77,7,7500,10,514,452,34
78,8,7500,10,506,450,44
79,9,7500,10,471,482,47
80,0,10000,10,507,460,33
81,1,10000,10,533,441,26
82,2,10000,10,531,437,32
83,3,10000,10,509,457,34
84,4,10000,10,549,410,41
85,5,10000,10,502,461,37
86,6,10000,10,539,420,41
87,7,10000,10,527,439,34
88,8,10000,10,522,428,50
89,9,10000,10,513,456,31
