,i,train_count,epochs,x_wins,o_wins,draws
0,0,100,10,786,175,39
1,1,100,10,750,205,45
2,2,100,10,782,176,42
3,3,100,10,790,175,35
4,4,100,10,777,190,33
5,5,100,10,791,165,44
6,6,100,10,820,142,38
7,7,100,10,789,163,48
8,8,100,10,794,167,39
9,9,100,10,790,178,32
10,0,200,10,793,180,27
11,1,200,10,783,182,35
12,2,200,10,765,190,45
13,3,200,10,791,158,51
14,4,200,10,775,187,38
15,5,200,10,779,180,41
16,6,200,10,776,181,43
17,7,200,10,786,175,39
18,8,200,10,796,164,40
19,9,200,10,783,180,37
20,0,500,10,758,196,46
21,1,500,10,795,169,36
22,2,500,10,771,181,48
23,3,500,10,780,184,36
24,4,500,10,790,166,44
25,5,500,10,793,166,41
26,6,500,10,809,153,38
27,7,500,10,779,178,43
28,8,500,10,782,176,42
29,9,500,10,778,182,40
30,0,1000,10,796,168,36
31,1,1000,10,783,182,35
32,2,1000,10,787,167,46
33,3,1000,10,761,193,46
34,4,1000,10,782,172,46
35,5,1000,10,800,152,48
36,6,1000,10,785,182,33
37,7,1000,10,779,181,40
38,8,1000,10,796,171,33
39,9,1000,10,802,176,22
40,0,2000,10,788,170,42
41,1,2000,10,793,171,36
42,2,2000,10,755,194,51
43,3,2000,10,790,168,42
44,4,2000,10,795,172,33
45,5,2000,10,787,176,37
46,6,2000,10,796,175,29
47,7,2000,10,793,167,40
48,8,2000,10,784,181,35
49,9,2000,10,772,187,41
50,0,3000,10,794,169,37
51,1,3000,10,777,182,41
52,2,3000,10,789,171,40
53,3,3000,10,790,179,31
54,4,3000,10,783,168,49
55,5,3000,10,793,170,37
56,6,3000,10,786,162,52
57,7,3000,10,781,166,53
58,8,3000,10,772,180,48
59,9,3000,10,772,185,43
60,0,5000,10,775,188,37
61,1,5000,10,788,177,35
62,2,5000,10,800,159,41
63,3,5000,10,789,170,41
64,4,5000,10,756,206,38
65,5,5000,10,793,171,36
66,6,5000,10,774,176,50
67,7,5000,10,766,193,41
68,8,5000,10,785,167,48
69,9,5000,10,782,182,36
70,0,7500,10,761,203,36
71,1,7500,10,776,177,47
72,2,7500,10,781,172,47
73,3,7500,10,795,174,31
74,4,7500,10,772,186,42
75,5,7500,10,817,143,40
76,6,7500,10,770,186,44
77,7,7500,10,779,171,50
78,8,7500,10,789,173,38
79,9,7500,10,777,178,45
80,0,10000,10,782,180,38
81,1,10000,10,792,170,38
82,2,10000,10,763,203,34
83,3,10000,10,798,162,40
84,4,10000,10,761,198,41
85,5,10000,10,783,163,54
86,6,10000,10,765,184,51
87,7,10000,10,781,165,54
88,8,10000,10,781,169,50
89,9,10000,10,788,177,35
