,i,train_count,epochs,x_wins,o_wins,draws,optim,in_shape
0,0,5000,10,59,611,330,adam,9
1,1,5000,10,62,662,276,adam,9
2,2,5000,10,135,661,204,adam,9
3,3,5000,10,116,667,217,adam,9
4,4,5000,10,142,581,277,adam,9
5,5,5000,10,123,691,186,adam,9
6,6,5000,10,168,586,246,adam,9
7,7,5000,10,98,654,248,adam,9
8,8,5000,10,174,600,226,adam,9
9,9,5000,10,64,548,388,adam,9
10,0,5000,10,491,313,196,sgd,9
11,1,5000,10,419,326,255,sgd,9
12,2,5000,10,557,312,131,sgd,9
13,3,5000,10,554,330,116,sgd,9
14,4,5000,10,576,289,135,sgd,9
15,5,5000,10,495,465,40,sgd,9
16,6,5000,10,646,281,73,sgd,9
17,7,5000,10,666,239,95,sgd,9
18,8,5000,10,476,282,242,sgd,9
19,9,5000,10,643,204,153,sgd,9
20,0,5000,10,46,714,240,adadelta,9
21,1,5000,10,35,802,163,adadelta,9
22,2,5000,10,28,775,197,adadelta,9
23,3,5000,10,67,720,213,adadelta,9
24,4,5000,10,32,703,265,adadelta,9
25,5,5000,10,40,718,242,adadelta,9
26,6,5000,10,65,659,276,adadelta,9
27,7,5000,10,44,629,327,adadelta,9
28,8,5000,10,84,607,309,adadelta,9
29,9,5000,10,150,534,316,adadelta,9
30,0,5000,10,209,447,344,adagrad,9
31,1,5000,10,386,376,238,adagrad,9
32,2,5000,10,258,433,309,adagrad,9
33,3,5000,10,98,591,311,adagrad,9
34,4,5000,10,174,611,215,adagrad,9
35,5,5000,10,163,573,264,adagrad,9
36,6,5000,10,132,580,288,adagrad,9
37,7,5000,10,111,580,309,adagrad,9
38,8,5000,10,90,657,253,adagrad,9
39,9,5000,10,123,512,365,adagrad,9
