,i,train_count,epochs,x_wins,o_wins,draws
0,0,100,10,439,375,186
1,1,100,10,415,520,65
2,2,100,10,375,556,69
3,3,100,10,511,402,87
4,4,100,10,545,254,201
5,5,100,10,475,292,233
6,6,100,10,683,243,74
7,7,100,10,499,307,194
8,8,100,10,442,385,173
9,9,100,10,437,462,101
10,0,200,10,411,382,207
11,1,200,10,529,266,205
12,2,200,10,405,474,121
13,3,200,10,627,203,170
14,4,200,10,554,332,114
15,5,200,10,418,482,100
16,6,200,10,508,432,60
17,7,200,10,407,504,89
18,8,200,10,377,362,261
19,9,200,10,475,367,158
20,0,500,10,321,512,167
21,1,500,10,401,321,278
22,2,500,10,340,403,257
23,3,500,10,319,353,328
24,4,500,10,379,530,91
25,5,500,10,364,505,131
26,6,500,10,334,514,152
27,7,500,10,489,275,236
28,8,500,10,369,421,210
29,9,500,10,278,582,140
30,0,1000,10,228,551,221
31,1,1000,10,233,387,380
32,2,1000,10,336,517,147
33,3,1000,10,240,495,265
34,4,1000,10,247,553,200
35,5,1000,10,262,589,149
36,6,1000,10,284,580,136
37,7,1000,10,211,591,198
38,8,1000,10,219,583,198
39,9,1000,10,290,539,171
40,0,2000,10,146,629,225
41,1,2000,10,118,622,260
42,2,2000,10,181,573,246
43,3,2000,10,337,393,270
44,4,2000,10,146,688,166
45,5,2000,10,115,711,174
46,6,2000,10,224,625,151
47,7,2000,10,263,534,203
48,8,2000,10,152,659,189
49,9,2000,10,122,725,153
50,0,3000,10,92,703,205
51,1,3000,10,107,699,194
52,2,3000,10,114,702,184
53,3,3000,10,128,607,265
54,4,3000,10,94,716,190
55,5,3000,10,145,573,282
56,6,3000,10,322,488,190
57,7,3000,10,127,636,237
58,8,3000,10,132,564,304
59,9,3000,10,110,644,246
60,0,5000,10,111,625,264
61,1,5000,10,249,504,247
62,2,5000,10,93,770,137
63,3,5000,10,143,559,298
64,4,5000,10,120,610,270
65,5,5000,10,236,529,235
66,6,5000,10,96,720,184
67,7,5000,10,149,615,236
68,8,5000,10,82,474,444
69,9,5000,10,179,565,256
70,0,7500,10,64,553,383
71,1,7500,10,58,670,272
72,2,7500,10,82,705,213
73,3,7500,10,59,703,238
74,4,7500,10,110,731,159
75,5,7500,10,172,670,158
76,6,7500,10,72,687,241
77,7,7500,10,33,725,242
78,8,7500,10,84,680,236
79,9,7500,10,133,699,168
80,0,10000,10,62,649,289
81,1,10000,10,61,590,349
82,2,10000,10,94,679,227
83,3,10000,10,38,678,284
84,4,10000,10,130,696,174
85,5,10000,10,178,558,264
86,6,10000,10,67,548,385
87,7,10000,10,39,683,278
88,8,10000,10,62,782,156
89,9,10000,10,83,732,185
