,i,train_count,epochs,x_wins,o_wins,draws,optim,in_shape
0,0,5000,10,981,0,19,adam,9
1,1,5000,10,959,19,22,adam,9
2,2,5000,10,966,14,20,adam,9
3,3,5000,10,974,3,23,adam,9
4,4,5000,10,988,9,3,adam,9
5,5,5000,10,964,3,33,adam,9
6,6,5000,10,969,0,31,adam,9
7,7,5000,10,949,15,36,adam,9
8,8,5000,10,959,16,25,adam,9
9,9,5000,10,856,63,81,adam,9
10,0,5000,10,558,287,155,sgd,9
11,1,5000,10,576,317,107,sgd,9
12,2,5000,10,738,146,116,sgd,9
13,3,5000,10,655,251,94,sgd,9
14,4,5000,10,541,280,179,sgd,9
15,5,5000,10,763,111,126,sgd,9
16,6,5000,10,426,521,53,sgd,9
17,7,5000,10,719,258,23,sgd,9
18,8,5000,10,670,218,112,sgd,9
19,9,5000,10,657,213,130,sgd,9
20,0,5000,10,983,0,17,adadelta,9
21,1,5000,10,968,0,32,adadelta,9
22,2,5000,10,940,29,31,adadelta,9
23,3,5000,10,988,0,12,adadelta,9
24,4,5000,10,963,5,32,adadelta,9
25,5,5000,10,978,3,19,adadelta,9
26,6,5000,10,968,8,24,adadelta,9
27,7,5000,10,979,0,21,adadelta,9
28,8,5000,10,987,1,12,adadelta,9
29,9,5000,10,984,4,12,adadelta,9
30,0,5000,10,905,57,38,adagrad,9
31,1,5000,10,973,6,21,adagrad,9
32,2,5000,10,889,73,38,adagrad,9
33,3,5000,10,939,19,42,adagrad,9
34,4,5000,10,958,19,23,adagrad,9
35,5,5000,10,971,20,9,adagrad,9
36,6,5000,10,945,28,27,adagrad,9
37,7,5000,10,944,34,22,adagrad,9
38,8,5000,10,973,16,11,adagrad,9
39,9,5000,10,959,20,21,adagrad,9
