,i,train_count,epochs,x_wins,o_wins,draws
0,0,5000,1,787,95,118
1,1,5000,1,685,200,115
2,2,5000,1,701,212,87
3,3,5000,1,700,216,84
4,4,5000,1,605,330,65
5,5,5000,1,731,169,100
6,6,5000,1,626,195,179
7,7,5000,1,567,395,38
8,8,5000,1,572,304,124
9,9,5000,1,545,401,54
10,0,5000,2,785,125,90
11,1,5000,2,775,122,103
12,2,5000,2,835,104,61
13,3,5000,2,768,127,105
14,4,5000,2,811,117,72
15,5,5000,2,825,125,50
16,6,5000,2,750,148,102
17,7,5000,2,894,57,49
18,8,5000,2,756,175,69
19,9,5000,2,821,143,36
20,0,5000,3,968,3,29
21,1,5000,3,901,67,32
22,2,5000,3,912,29,59
23,3,5000,3,890,86,24
24,4,5000,3,930,51,19
25,5,5000,3,976,18,6
26,6,5000,3,936,47,17
27,7,5000,3,898,56,46
28,8,5000,3,871,60,69
29,9,5000,3,915,35,50
30,0,5000,5,976,5,19
31,1,5000,5,978,0,22
32,2,5000,5,957,15,28
33,3,5000,5,915,56,29
34,4,5000,5,977,8,15
35,5,5000,5,910,48,42
36,6,5000,5,984,0,16
37,7,5000,5,970,3,27
38,8,5000,5,973,0,27
39,9,5000,5,959,27,14
40,0,5000,8,955,26,19
41,1,5000,8,918,23,59
42,2,5000,8,938,15,47
43,3,5000,8,988,0,12
44,4,5000,8,969,11,20
45,5,5000,8,956,23,21
46,6,5000,8,975,5,20
47,7,5000,8,989,5,6
48,8,5000,8,974,11,15
49,9,5000,8,971,4,25
50,0,5000,10,971,4,25
51,1,5000,10,945,11,44
52,2,5000,10,954,14,32
53,3,5000,10,966,0,34
54,4,5000,10,972,0,28
55,5,5000,10,929,35,36
56,6,5000,10,955,7,38
57,7,5000,10,930,31,39
58,8,5000,10,960,13,27
59,9,5000,10,951,8,41
60,0,5000,15,979,5,16
61,1,5000,15,985,5,10
62,2,5000,15,983,11,6
63,3,5000,15,970,0,30
64,4,5000,15,978,5,17
65,5,5000,15,950,38,12
66,6,5000,15,984,6,10
67,7,5000,15,950,18,32
68,8,5000,15,969,16,15
69,9,5000,15,979,3,18
70,0,5000,20,978,0,22
71,1,5000,20,976,0,24
72,2,5000,20,938,17,45
73,3,5000,20,909,48,43
74,4,5000,20,989,3,8
75,5,5000,20,981,0,19
76,6,5000,20,977,2,21
77,7,5000,20,983,7,10
78,8,5000,20,963,9,28
79,9,5000,20,981,4,15
80,0,5000,25,987,0,13
81,1,5000,25,989,9,2
82,2,5000,25,988,0,12
83,3,5000,25,979,0,21
84,4,5000,25,955,0,45
85,5,5000,25,980,3,17
86,6,5000,25,989,0,11
87,7,5000,25,989,0,11
88,8,5000,25,932,20,48
89,9,5000,25,947,13,40
