,i,train_count,epochs,x_wins,o_wins,draws,loss,in_shape
0,0,5000,10,958,13,29,mean_squared_error,9
1,1,5000,10,969,13,18,mean_squared_error,9
2,2,5000,10,986,12,2,mean_squared_error,9
3,3,5000,10,963,15,22,mean_squared_error,9
4,4,5000,10,881,22,97,mean_squared_error,9
5,5,5000,10,959,18,23,mean_squared_error,9
6,6,5000,10,967,0,33,mean_squared_error,9
7,7,5000,10,942,39,19,mean_squared_error,9
8,8,5000,10,962,5,33,mean_squared_error,9
9,9,5000,10,987,1,12,mean_squared_error,9
10,0,5000,10,751,197,52,mean_squared_error,18
11,1,5000,10,782,174,44,mean_squared_error,18
12,2,5000,10,807,160,33,mean_squared_error,18
13,3,5000,10,796,178,26,mean_squared_error,18
14,4,5000,10,769,191,40,mean_squared_error,18
15,5,5000,10,783,176,41,mean_squared_error,18
16,6,5000,10,790,170,40,mean_squared_error,18
17,7,5000,10,773,178,49,mean_squared_error,18
18,8,5000,10,798,164,38,mean_squared_error,18
19,9,5000,10,794,177,29,mean_squared_error,18
20,0,5000,10,877,73,50,mean_squared_error,27
21,1,5000,10,920,63,17,mean_squared_error,27
22,2,5000,10,923,53,24,mean_squared_error,27
23,3,5000,10,839,104,57,mean_squared_error,27
24,4,5000,10,773,118,109,mean_squared_error,27
25,5,5000,10,913,35,52,mean_squared_error,27
26,6,5000,10,861,110,29,mean_squared_error,27
27,7,5000,10,916,61,23,mean_squared_error,27
28,8,5000,10,684,252,64,mean_squared_error,27
29,9,5000,10,711,150,139,mean_squared_error,27
30,0,5000,10,788,43,169,mean_absolute_error,9
31,1,5000,10,844,81,75,mean_absolute_error,9
32,2,5000,10,888,12,100,mean_absolute_error,9
33,3,5000,10,876,24,100,mean_absolute_error,9
34,4,5000,10,816,31,153,mean_absolute_error,9
35,5,5000,10,802,64,134,mean_absolute_error,9
36,6,5000,10,833,56,111,mean_absolute_error,9
37,7,5000,10,870,10,120,mean_absolute_error,9
38,8,5000,10,712,63,225,mean_absolute_error,9
39,9,5000,10,825,51,124,mean_absolute_error,9
40,0,5000,10,797,169,34,mean_absolute_error,18
41,1,5000,10,782,180,38,mean_absolute_error,18
42,2,5000,10,760,186,54,mean_absolute_error,18
43,3,5000,10,795,169,36,mean_absolute_error,18
44,4,5000,10,771,195,34,mean_absolute_error,18
45,5,5000,10,794,160,46,mean_absolute_error,18
46,6,5000,10,758,204,38,mean_absolute_error,18
47,7,5000,10,771,192,37,mean_absolute_error,18
48,8,5000,10,794,168,38,mean_absolute_error,18
49,9,5000,10,787,174,39,mean_absolute_error,18
50,0,5000,10,601,237,162,mean_absolute_error,27
51,1,5000,10,565,208,227,mean_absolute_error,27
52,2,5000,10,719,106,175,mean_absolute_error,27
53,3,5000,10,647,202,151,mean_absolute_error,27
54,4,5000,10,715,191,94,mean_absolute_error,27
55,5,5000,10,713,177,110,mean_absolute_error,27
56,6,5000,10,699,136,165,mean_absolute_error,27
57,7,5000,10,808,78,114,mean_absolute_error,27
58,8,5000,10,721,155,124,mean_absolute_error,27
59,9,5000,10,691,121,188,mean_absolute_error,27
60,0,5000,10,815,16,169,mean_absolute_percentage_error,9
61,1,5000,10,772,86,142,mean_absolute_percentage_error,9
62,2,5000,10,935,27,38,mean_absolute_percentage_error,9
63,3,5000,10,843,18,139,mean_absolute_percentage_error,9
64,4,5000,10,842,12,146,mean_absolute_percentage_error,9
65,5,5000,10,825,118,57,mean_absolute_percentage_error,9
66,6,5000,10,921,25,54,mean_absolute_percentage_error,9
67,7,5000,10,864,15,121,mean_absolute_percentage_error,9
68,8,5000,10,915,40,45,mean_absolute_percentage_error,9
69,9,5000,10,834,6,160,mean_absolute_percentage_error,9
70,0,5000,10,781,173,46,mean_absolute_percentage_error,18
71,1,5000,10,770,192,38,mean_absolute_percentage_error,18
72,2,5000,10,783,184,33,mean_absolute_percentage_error,18
73,3,5000,10,792,163,45,mean_absolute_percentage_error,18
74,4,5000,10,793,167,40,mean_absolute_percentage_error,18
75,5,5000,10,766,188,46,mean_absolute_percentage_error,18
76,6,5000,10,770,184,46,mean_absolute_percentage_error,18
77,7,5000,10,771,187,42,mean_absolute_percentage_error,18
78,8,5000,10,794,163,43,mean_absolute_percentage_error,18
79,9,5000,10,789,168,43,mean_absolute_percentage_error,18
80,0,5000,10,472,290,238,mean_absolute_percentage_error,27
81,1,5000,10,830,73,97,mean_absolute_percentage_error,27
82,2,5000,10,767,190,43,mean_absolute_percentage_error,27
83,3,5000,10,695,232,73,mean_absolute_percentage_error,27
84,4,5000,10,547,181,272,mean_absolute_percentage_error,27
85,5,5000,10,577,191,232,mean_absolute_percentage_error,27
86,6,5000,10,785,131,84,mean_absolute_percentage_error,27
87,7,5000,10,751,121,128,mean_absolute_percentage_error,27
88,8,5000,10,775,65,160,mean_absolute_percentage_error,27
89,9,5000,10,790,154,56,mean_absolute_percentage_error,27
90,0,5000,10,983,0,17,mean_squared_logarithmic_error,9
91,1,5000,10,969,0,31,mean_squared_logarithmic_error,9
92,2,5000,10,956,2,42,mean_squared_logarithmic_error,9
93,3,5000,10,982,0,18,mean_squared_logarithmic_error,9
94,4,5000,10,980,0,20,mean_squared_logarithmic_error,9
95,5,5000,10,977,6,17,mean_squared_logarithmic_error,9
96,6,5000,10,978,0,22,mean_squared_logarithmic_error,9
97,7,5000,10,985,3,12,mean_squared_logarithmic_error,9
98,8,5000,10,980,4,16,mean_squared_logarithmic_error,9
99,9,5000,10,990,0,10,mean_squared_logarithmic_error,9
100,0,5000,10,806,148,46,mean_squared_logarithmic_error,18
101,1,5000,10,786,168,46,mean_squared_logarithmic_error,18
102,2,5000,10,800,165,35,mean_squared_logarithmic_error,18
103,3,5000,10,789,174,37,mean_squared_logarithmic_error,18
104,4,5000,10,779,176,45,mean_squared_logarithmic_error,18
105,5,5000,10,771,186,43,mean_squared_logarithmic_error,18
106,6,5000,10,788,166,46,mean_squared_logarithmic_error,18
107,7,5000,10,771,178,51,mean_squared_logarithmic_error,18
108,8,5000,10,795,162,43,mean_squared_logarithmic_error,18
109,9,5000,10,791,165,44,mean_squared_logarithmic_error,18
110,0,5000,10,939,32,29,mean_squared_logarithmic_error,27
111,1,5000,10,970,16,14,mean_squared_logarithmic_error,27
112,2,5000,10,934,31,35,mean_squared_logarithmic_error,27
113,3,5000,10,968,3,29,mean_squared_logarithmic_error,27
114,4,5000,10,937,38,25,mean_squared_logarithmic_error,27
115,5,5000,10,899,41,60,mean_squared_logarithmic_error,27
116,6,5000,10,891,38,71,mean_squared_logarithmic_error,27
117,7,5000,10,912,31,57,mean_squared_logarithmic_error,27
118,8,5000,10,947,28,25,mean_squared_logarithmic_error,27
119,9,5000,10,945,32,23,mean_squared_logarithmic_error,27
120,0,5000,10,738,120,142,squared_hinge,9
121,1,5000,10,868,66,66,squared_hinge,9
122,2,5000,10,942,0,58,squared_hinge,9
123,3,5000,10,935,0,65,squared_hinge,9
124,4,5000,10,875,46,79,squared_hinge,9
125,5,5000,10,885,60,55,squared_hinge,9
126,6,5000,10,889,77,34,squared_hinge,9
127,7,5000,10,869,67,64,squared_hinge,9
128,8,5000,10,954,0,46,squared_hinge,9
129,9,5000,10,519,250,231,squared_hinge,9
130,0,5000,10,780,171,49,squared_hinge,18
131,1,5000,10,775,190,35,squared_hinge,18
132,2,5000,10,792,163,45,squared_hinge,18
133,3,5000,10,807,159,34,squared_hinge,18
134,4,5000,10,785,173,42,squared_hinge,18
135,5,5000,10,789,174,37,squared_hinge,18
136,6,5000,10,794,169,37,squared_hinge,18
137,7,5000,10,780,186,34,squared_hinge,18
138,8,5000,10,765,183,52,squared_hinge,18
139,9,5000,10,766,186,48,squared_hinge,18
140,0,5000,10,774,106,120,squared_hinge,27
141,1,5000,10,776,107,117,squared_hinge,27
142,2,5000,10,851,83,66,squared_hinge,27
143,3,5000,10,845,113,42,squared_hinge,27
144,4,5000,10,843,64,93,squared_hinge,27
145,5,5000,10,855,37,108,squared_hinge,27
146,6,5000,10,815,111,74,squared_hinge,27
147,7,5000,10,778,127,95,squared_hinge,27
148,8,5000,10,896,39,65,squared_hinge,27
149,9,5000,10,784,112,104,squared_hinge,27
150,0,5000,10,940,37,23,hinge,9
151,1,5000,10,756,163,81,hinge,9
152,2,5000,10,721,188,91,hinge,9
153,3,5000,10,929,47,24,hinge,9
154,4,5000,10,752,160,88,hinge,9
155,5,5000,10,941,32,27,hinge,9
156,6,5000,10,949,31,20,hinge,9
157,7,5000,10,942,26,32,hinge,9
158,8,5000,10,876,55,69,hinge,9
159,9,5000,10,827,109,64,hinge,9
160,0,5000,10,774,188,38,hinge,18
161,1,5000,10,769,190,41,hinge,18
162,2,5000,10,782,178,40,hinge,18
163,3,5000,10,778,175,47,hinge,18
164,4,5000,10,790,175,35,hinge,18
165,5,5000,10,770,182,48,hinge,18
166,6,5000,10,777,184,39,hinge,18
167,7,5000,10,756,199,45,hinge,18
168,8,5000,10,767,191,42,hinge,18
169,9,5000,10,763,178,59,hinge,18
170,0,5000,10,837,113,50,hinge,27
171,1,5000,10,877,94,29,hinge,27
172,2,5000,10,827,141,32,hinge,27
173,3,5000,10,859,98,43,hinge,27
174,4,5000,10,897,92,11,hinge,27
175,5,5000,10,926,61,13,hinge,27
176,6,5000,10,889,74,37,hinge,27
177,7,5000,10,907,75,18,hinge,27
178,8,5000,10,895,78,27,hinge,27
179,9,5000,10,896,68,36,hinge,27
180,0,5000,10,839,75,86,categorical_hinge,9
181,1,5000,10,846,43,111,categorical_hinge,9
182,2,5000,10,907,48,45,categorical_hinge,9
183,3,5000,10,703,108,189,categorical_hinge,9
184,4,5000,10,859,97,44,categorical_hinge,9
185,5,5000,10,798,172,30,categorical_hinge,9
186,6,5000,10,690,187,123,categorical_hinge,9
187,7,5000,10,810,103,87,categorical_hinge,9
188,8,5000,10,645,296,59,categorical_hinge,9
189,9,5000,10,809,103,88,categorical_hinge,9
190,0,5000,10,785,166,49,categorical_hinge,18
191,1,5000,10,795,160,45,categorical_hinge,18
