,i,train_count,epochs,x_wins,o_wins,draws
0,0,100,10,819,121,60
1,1,100,10,560,356,84
2,2,100,10,640,258,102
3,3,100,10,442,439,119
4,4,100,10,882,67,51
5,5,100,10,785,168,47
6,6,100,10,733,174,93
7,7,100,10,606,196,198
8,8,100,10,803,143,54
9,9,100,10,689,185,126
10,0,200,10,735,121,144
11,1,200,10,709,202,89
12,2,200,10,748,215,37
13,3,200,10,787,112,101
14,4,200,10,774,178,48
15,5,200,10,846,72,82
16,6,200,10,701,132,167
17,7,200,10,708,178,114
18,8,200,10,739,198,63
19,9,200,10,689,152,159
20,0,500,10,861,86,53
21,1,500,10,702,156,142
22,2,500,10,879,40,81
23,3,500,10,720,200,80
24,4,500,10,756,152,92
25,5,500,10,628,251,121
26,6,500,10,573,290,137
27,7,500,10,807,91,102
28,8,500,10,830,120,50
29,9,500,10,586,268,146
30,0,1000,10,799,100,101
31,1,1000,10,920,44,36
32,2,1000,10,906,17,77
33,3,1000,10,784,64,152
34,4,1000,10,874,77,49
35,5,1000,10,895,98,7
36,6,1000,10,800,106,94
37,7,1000,10,913,34,53
38,8,1000,10,868,97,35
39,9,1000,10,851,94,55
40,0,2000,10,955,27,18
41,1,2000,10,955,11,34
42,2,2000,10,939,14,47
43,3,2000,10,821,82,97
44,4,2000,10,942,8,50
45,5,2000,10,942,34,24
46,6,2000,10,956,23,21
47,7,2000,10,930,0,70
48,8,2000,10,932,9,59
49,9,2000,10,952,29,19
50,0,3000,10,941,33,26
51,1,3000,10,932,43,25
52,2,3000,10,988,4,8
53,3,3000,10,968,18,14
54,4,3000,10,921,63,16
55,5,3000,10,952,12,36
56,6,3000,10,954,21,25
57,7,3000,10,966,11,23
58,8,3000,10,970,12,18
59,9,3000,10,950,7,43
60,0,5000,10,972,3,25
61,1,5000,10,924,18,58
62,2,5000,10,981,2,17
63,3,5000,10,963,8,29
64,4,5000,10,928,27,45
65,5,5000,10,976,9,15
66,6,5000,10,991,5,4
67,7,5000,10,926,14,60
68,8,5000,10,909,57,34
69,9,5000,10,973,13,14
70,0,7500,10,969,10,21
71,1,7500,10,982,3,15
72,2,7500,10,972,0,28
73,3,7500,10,983,1,16
74,4,7500,10,971,4,25
75,5,7500,10,976,0,24
76,6,7500,10,985,0,15
77,7,7500,10,986,1,13
78,8,7500,10,951,13,36
79,9,7500,10,972,0,28
80,0,10000,10,967,8,25
81,1,10000,10,971,0,29
82,2,10000,10,971,9,20
83,3,10000,10,978,3,19
84,4,10000,10,988,0,12
85,5,10000,10,979,3,18
86,6,10000,10,983,5,12
87,7,10000,10,975,0,25
88,8,10000,10,933,15,52
89,9,10000,10,934,18,48
