,i,train_count,epochs,x_wins,o_wins,draws,loss,filter,in_shape
0,0,5000,10,391,476,133,,True,9
1,1,5000,10,386,452,162,,True,9
2,2,5000,10,475,407,118,,True,9
3,3,5000,10,362,492,146,,True,9
4,4,5000,10,327,520,153,,True,9
5,0,5000,10,107,683,210,,False,9
6,1,5000,10,144,652,204,,False,9
7,2,5000,10,71,718,211,,False,9
8,3,5000,10,76,651,273,,False,9
9,4,5000,10,351,421,228,,False,9
10,0,5000,10,522,441,37,,True,18
11,1,5000,10,490,476,34,,True,18
12,2,5000,10,553,410,37,,True,18
13,3,5000,10,508,449,43,,True,18
14,4,5000,10,491,477,32,,True,18
15,0,5000,10,527,434,39,,False,18
16,1,5000,10,525,436,39,,False,18
17,2,5000,10,525,446,29,,False,18
18,3,5000,10,518,451,31,,False,18
19,4,5000,10,515,450,35,,False,18
20,0,5000,10,467,430,103,,True,27
21,1,5000,10,385,521,94,,True,27
22,2,5000,10,381,516,103,,True,27
23,3,5000,10,373,562,65,,True,27
24,4,5000,10,380,494,126,,True,27
25,0,5000,10,420,396,184,,False,27
26,1,5000,10,298,448,254,,False,27
27,2,5000,10,512,369,119,,False,27
28,3,5000,10,389,480,131,,False,27
29,4,5000,10,514,265,221,,False,27
