,i,train_count,epochs,x_wins,o_wins,draws,hiden_size,in_shape
0,0,5000,10,530,428,42,10,9
1,1,5000,10,387,508,105,10,9
2,2,5000,10,537,233,230,10,9
3,3,5000,10,701,161,138,10,9
4,4,5000,10,505,305,190,10,9
5,0,5000,10,421,328,251,20,9
6,1,5000,10,396,322,282,20,9
7,2,5000,10,335,570,95,20,9
8,3,5000,10,294,446,260,20,9
9,4,5000,10,424,271,305,20,9
10,0,5000,10,121,639,240,40,9
11,1,5000,10,223,634,143,40,9
12,2,5000,10,175,587,238,40,9
13,3,5000,10,161,593,246,40,9
14,4,5000,10,109,764,127,40,9
15,0,5000,10,163,557,280,50,9
16,1,5000,10,109,769,122,50,9
17,2,5000,10,208,528,264,50,9
18,3,5000,10,291,417,292,50,9
19,4,5000,10,302,461,237,50,9
20,0,5000,10,165,649,186,100,9
21,1,5000,10,162,617,221,100,9
22,2,5000,10,78,629,293,100,9
23,3,5000,10,60,693,247,100,9
24,4,5000,10,411,485,104,100,9
25,0,5000,10,96,524,380,150,9
26,1,5000,10,112,684,204,150,9
27,2,5000,10,84,744,172,150,9
28,3,5000,10,229,527,244,150,9
29,4,5000,10,272,451,277,150,9
30,0,5000,10,100,534,366,200,9
31,1,5000,10,87,635,278,200,9
32,2,5000,10,124,537,339,200,9
33,3,5000,10,80,593,327,200,9
34,4,5000,10,89,642,269,200,9
35,0,5000,10,131,744,125,300,9
36,1,5000,10,225,507,268,300,9
37,2,5000,10,176,503,321,300,9
38,3,5000,10,157,454,389,300,9
39,4,5000,10,161,563,276,300,9
40,0,5000,10,184,441,375,500,9
41,1,5000,10,160,512,328,500,9
42,2,5000,10,205,495,300,500,9
43,3,5000,10,88,631,281,500,9
44,4,5000,10,135,500,365,500,9
