,i,train_count,epochs,x_wins,o_wins,draws,loss,in_shape
0,0,5000,10,107,583,310,mean_squared_error,9
1,1,5000,10,77,696,227,mean_squared_error,9
2,2,5000,10,109,744,147,mean_squared_error,9
3,3,5000,10,107,634,259,mean_squared_error,9
4,4,5000,10,53,746,201,mean_squared_error,9
5,0,5000,10,526,434,40,mean_squared_error,18
6,1,5000,10,544,413,43,mean_squared_error,18
7,2,5000,10,521,446,33,mean_squared_error,18
8,3,5000,10,515,454,31,mean_squared_error,18
9,4,5000,10,527,442,31,mean_squared_error,18
10,0,5000,10,441,363,196,mean_squared_error,27
11,1,5000,10,415,393,192,mean_squared_error,27
12,2,5000,10,317,468,215,mean_squared_error,27
13,3,5000,10,473,326,201,mean_squared_error,27
14,4,5000,10,434,312,254,mean_squared_error,27
15,0,5000,10,192,658,150,mean_absolute_error,9
16,1,5000,10,261,622,117,mean_absolute_error,9
17,2,5000,10,170,690,140,mean_absolute_error,9
18,3,5000,10,291,565,144,mean_absolute_error,9
19,4,5000,10,171,702,127,mean_absolute_error,9
20,0,5000,10,510,445,45,mean_absolute_error,18
21,1,5000,10,516,447,37,mean_absolute_error,18
22,2,5000,10,544,420,36,mean_absolute_error,18
23,3,5000,10,514,437,49,mean_absolute_error,18
24,4,5000,10,542,419,39,mean_absolute_error,18
25,0,5000,10,503,408,89,mean_absolute_error,27
26,1,5000,10,532,343,125,mean_absolute_error,27
27,2,5000,10,642,269,89,mean_absolute_error,27
28,3,5000,10,542,297,161,mean_absolute_error,27
29,4,5000,10,471,449,80,mean_absolute_error,27
30,0,5000,10,293,684,23,mean_absolute_percentage_error,9
31,1,5000,10,386,578,36,mean_absolute_percentage_error,9
32,2,5000,10,202,741,57,mean_absolute_percentage_error,9
33,3,5000,10,339,640,21,mean_absolute_percentage_error,9
34,4,5000,10,407,540,53,mean_absolute_percentage_error,9
35,0,5000,10,509,448,43,mean_absolute_percentage_error,18
36,1,5000,10,547,422,31,mean_absolute_percentage_error,18
37,2,5000,10,500,462,38,mean_absolute_percentage_error,18
38,3,5000,10,512,458,30,mean_absolute_percentage_error,18
39,4,5000,10,506,441,53,mean_absolute_percentage_error,18
40,0,5000,10,457,458,85,mean_absolute_percentage_error,27
41,1,5000,10,549,278,173,mean_absolute_percentage_error,27
42,2,5000,10,514,440,46,mean_absolute_percentage_error,27
43,3,5000,10,413,528,59,mean_absolute_percentage_error,27
44,4,5000,10,317,609,74,mean_absolute_percentage_error,27
