,i,train_count,epochs,x_wins,o_wins,draws,loss,filter,in_shape
0,0,5000,10,764,190,46,,True,9
1,1,5000,10,815,146,39,,True,9
2,2,5000,10,814,98,88,,True,9
3,3,5000,10,746,137,117,,True,9
4,4,5000,10,720,159,121,,True,9
5,0,5000,10,974,13,13,,False,9
6,1,5000,10,963,24,13,,False,9
7,2,5000,10,967,21,12,,False,9
8,3,5000,10,936,44,20,,False,9
9,4,5000,10,978,18,4,,False,9
10,0,5000,10,776,187,37,,True,18
11,1,5000,10,770,181,49,,True,18
12,2,5000,10,802,159,39,,True,18
13,3,5000,10,774,178,48,,True,18
14,4,5000,10,783,183,34,,True,18
15,0,5000,10,755,187,58,,False,18
16,1,5000,10,791,164,45,,False,18
17,2,5000,10,780,182,38,,False,18
18,3,5000,10,811,147,42,,False,18
19,4,5000,10,784,169,47,,False,18
20,0,5000,10,769,120,111,,True,27
21,1,5000,10,746,155,99,,True,27
22,2,5000,10,736,178,86,,True,27
23,3,5000,10,621,262,117,,True,27
24,4,5000,10,658,147,195,,True,27
25,0,5000,10,826,129,45,,False,27
26,1,5000,10,831,121,48,,False,27
27,2,5000,10,874,69,57,,False,27
28,3,5000,10,709,188,103,,False,27
29,4,5000,10,810,155,35,,False,27
