,i,train_count,epochs,x_wins,o_wins,draws,hidden_one_size,hidden_two_size,in_shape
0,0,5000,10,591,341,68,10,10,9
1,1,5000,10,472,354,174,10,10,9
2,2,5000,10,464,365,171,10,10,9
3,3,5000,10,467,345,188,10,10,9
4,4,5000,10,469,234,297,10,10,9
5,0,5000,10,883,89,28,10,20,9
6,1,5000,10,568,267,165,10,20,9
7,2,5000,10,461,490,49,10,20,9
8,3,5000,10,725,193,82,10,20,9
9,4,5000,10,651,190,159,10,20,9
10,0,5000,10,467,334,199,10,50,9
11,1,5000,10,828,104,68,10,50,9
12,2,5000,10,665,120,215,10,50,9
13,3,5000,10,800,115,85,10,50,9
14,4,5000,10,509,235,256,10,50,9
15,0,5000,10,699,184,117,10,100,9
16,1,5000,10,828,118,54,10,100,9
17,2,5000,10,793,94,113,10,100,9
18,3,5000,10,909,38,53,10,100,9
19,4,5000,10,818,125,57,10,100,9
20,0,5000,10,641,153,206,10,200,9
21,1,5000,10,850,89,61,10,200,9
22,2,5000,10,531,334,135,10,200,9
23,3,5000,10,730,101,169,10,200,9
24,4,5000,10,866,67,67,10,200,9
25,0,5000,10,817,152,31,10,500,9
26,1,5000,10,610,261,129,10,500,9
27,2,5000,10,848,116,36,10,500,9
28,3,5000,10,702,278,20,10,500,9
29,4,5000,10,767,169,64,10,500,9
30,0,5000,10,781,165,54,20,10,9
31,1,5000,10,796,145,59,20,10,9
32,2,5000,10,652,277,71,20,10,9
33,3,5000,10,427,434,139,20,10,9
34,4,5000,10,759,148,93,20,10,9
35,0,5000,10,787,163,50,20,20,9
36,1,5000,10,752,149,99,20,20,9
37,2,5000,10,775,130,95,20,20,9
38,3,5000,10,839,110,51,20,20,9
39,4,5000,10,685,209,106,20,20,9
40,0,5000,10,764,121,115,20,50,9
41,1,5000,10,680,280,40,20,50,9
42,2,5000,10,800,100,100,20,50,9
43,3,5000,10,881,50,69,20,50,9
44,4,5000,10,610,167,223,20,50,9
45,0,5000,10,862,124,14,20,100,9
46,1,5000,10,827,120,53,20,100,9
47,2,5000,10,582,326,92,20,100,9
48,3,5000,10,859,68,73,20,100,9
49,4,5000,10,817,114,69,20,100,9
50,0,5000,10,833,85,82,20,200,9
51,1,5000,10,791,129,80,20,200,9
52,2,5000,10,936,16,48,20,200,9
53,3,5000,10,850,68,82,20,200,9
54,4,5000,10,853,63,84,20,200,9
55,0,5000,10,862,67,71,20,500,9
56,1,5000,10,893,76,31,20,500,9
57,2,5000,10,958,14,28,20,500,9
58,3,5000,10,883,43,74,20,500,9
59,4,5000,10,884,84,32,20,500,9
60,0,5000,10,922,28,50,35,10,9
61,1,5000,10,865,115,20,35,10,9
62,2,5000,10,527,383,90,35,10,9
63,3,5000,10,764,213,23,35,10,9
64,4,5000,10,858,88,54,35,10,9
65,0,5000,10,743,129,128,35,20,9
66,1,5000,10,787,143,70,35,20,9
67,2,5000,10,872,58,70,35,20,9
68,3,5000,10,574,217,209,35,20,9
69,4,5000,10,736,170,94,35,20,9
70,0,5000,10,814,88,98,35,50,9
71,1,5000,10,859,95,46,35,50,9
72,2,5000,10,828,112,60,35,50,9
73,3,5000,10,906,69,25,35,50,9
74,4,5000,10,690,185,125,35,50,9
75,0,5000,10,867,73,60,35,100,9
76,1,5000,10,934,33,33,35,100,9
77,2,5000,10,931,36,33,35,100,9
78,3,5000,10,915,38,47,35,100,9
79,4,5000,10,909,26,65,35,100,9
80,0,5000,10,811,125,64,35,200,9
81,1,5000,10,917,34,49,35,200,9
82,2,5000,10,873,62,65,35,200,9
83,3,5000,10,849,76,75,35,200,9
